Date,close,Open,High,Low,Vol.,Change %
07 08 2005,2361.55,2361.95,2390.45,2303.10,437.55M,0.01%
31 07 2005,2361.20,2312.05,2377.35,2294.25,449.05M,2.11%
24 07 2005,2312.30,2266.65,2332.55,2266.65,362.54M,2.06%
17 07 2005,2265.60,2212.95,2268.55,2212.95,281.50M,2.40%
10 07 2005,2212.55,2195.55,2234.15,2178.60,322.76M,0.74%
03 07 2005,2196.20,2212.05,2238.60,2171.25,264.93M,-0.71%
26 06 2005,2211.90,2194.35,2226.15,2162.00,361.86M,0.80%
19 06 2005,2194.35,2130.80,2204.45,2124.65,369.02M,3.34%
12 06 2005,2123.40,2090.70,2135.10,2081.70,231.12M,1.57%
05 06 2005,2090.60,2092.00,2133.10,2084.35,231.34M,-0.17%
29 05 2005,2094.25,2076.55,2097.60,2061.35,262.09M,0.86%
22 05 2005,2076.40,1992.10,2099.35,1991.70,333.01M,4.22%
15 05 2005,1992.40,1991.50,2024.60,1964.65,222.52M,0.21%
08 05 2005,1988.30,1978.05,2007.80,1975.05,224.87M,0.55%
01 05 2005,1977.50,1903.10,1984.40,1898.15,266.40M,3.94%
24 04 2005,1902.50,1968.45,1974.20,1896.30,313.62M,-3.30%
17 04 2005,1967.35,1955.50,1972.95,1902.80,320.54M,0.56%
10 04 2005,1956.30,2032.75,2038.85,1952.75,183.69M,-3.69%
03 04 2005,2031.20,2067.65,2084.90,2024.80,263.36M,-1.76%
27 03 2005,2067.65,2015.75,2071.20,1971.15,346.46M,2.59%
20 03 2005,2015.40,2117.95,2124.80,2007.35,282.14M,-4.44%
13 03 2005,2109.15,2153.80,2164.15,2077.20,355.43M,-2.08%
06 03 2005,2154.00,2148.25,2183.45,2141.35,378.61M,0.27%
27 02 2005,2148.15,2061.20,2152.75,2047.70,415.61M,4.23%
20 02 2005,2060.90,2055.15,2081.85,2036.60,294.12M,0.26%
13 02 2005,2055.55,2083.05,2110.15,2045.85,343.44M,-1.27%
06 02 2005,2082.05,2097.45,2098.00,2043.60,359.44M,0.20%
30 01 2005,2077.95,2008.45,2099.20,2006.35,520.81M,3.47%
23 01 2005,2008.30,1925.30,2014.25,1894.40,405.84M,4.31%
16 01 2005,1925.30,1931.75,1956.95,1900.05,364.95M,-0.30%
09 01 2005,1931.10,2016.75,2025.90,1900.85,398.08M,-4.19%
02 01 2005,2015.50,2080.00,2120.15,1984.25,423.06M,-3.12%
26 12 2004,2080.50,2061.60,2088.45,2046.25,367.30M,0.86%
19 12 2004,2062.70,2012.50,2065.60,2007.15,357.61M,2.51%
12 12 2004,2012.10,1970.60,2039.20,1964.80,397.30M,2.19%
05 12 2004,1969.00,1996.30,2012.25,1964.50,470.50M,-1.36%
28 11 2004,1996.20,1899.30,2011.90,1894.60,587.16M,5.01%
21 11 2004,1901.05,1872.55,1915.80,1845.10,326.53M,1.53%
14 11 2004,1872.35,1872.80,1898.15,1862.80,320.39M,-0.03%
07 11 2004,1872.95,1852.45,1885.05,1852.45,278.32M,1.11%
31 10 2004,1852.30,1787.30,1854.40,1776.70,390.17M,3.66%
24 10 2004,1786.90,1780.00,1808.85,1750.30,503.50M,0.40%
17 10 2004,1779.75,1796.05,1815.20,1772.40,287.73M,-0.85%
10 10 2004,1795.00,1817.85,1829.45,1773.00,338.94M,-1.38%
03 10 2004,1820.20,1776.75,1825.15,1775.45,481.85M,2.54%
26 09 2004,1775.15,1722.40,1778.65,1695.70,545.07M,3.06%
19 09 2004,1722.50,1734.05,1760.80,1717.20,622.75M,-0.64%
