Date,close,Open,High,Low,Vol.,Change %
21 05 2000,1275.35,1267.85,1278.75,1201.50,139.84M,0.58%
14 05 2000,1268.00,1281.30,1347.70,1220.70,115.20M,-1.15%
07 05 2000,1282.80,1423.25,1436.60,1276.40,118.26M,-9.81%
30 04 2000,1422.40,1410.00,1428.60,1258.10,139.61M,1.13%
23 04 2000,1406.55,1416.05,1455.85,1311.30,199.04M,-0.64%
16 04 2000,1415.65,1518.55,1518.55,1339.75,160.58M,-6.78%
09 04 2000,1518.65,1557.55,1636.95,1502.70,159.24M,-2.47%
02 04 2000,1557.15,1528.70,1558.05,1381.05,232.83M,1.88%
26 03 2000,1528.45,1570.45,1609.40,1489.10,168.06M,-2.62%
19 03 2000,1569.55,1563.30,1629.20,1540.45,94.42M,0.47%
12 03 2000,1562.20,1601.40,1645.00,1503.20,132.87M,-2.53%
05 03 2000,1602.75,1656.00,1765.25,1588.20,150.99M,-3.22%
27 02 2000,1656.00,1711.15,1783.30,1626.35,186.13M,-3.18%
20 02 2000,1710.45,1719.55,1818.15,1689.20,130.30M,-0.43%
13 02 2000,1717.80,1777.75,1795.45,1694.45,154.90M,-2.18%
06 02 2000,1756.00,1599.80,1771.65,1599.80,180.67M,9.77%
30 01 2000,1599.75,1598.35,1621.35,1521.40,183.96M,0.04%
23 01 2000,1599.10,1623.05,1645.00,1579.55,156.28M,-1.33%
16 01 2000,1620.60,1623.50,1668.45,1587.85,205.57M,-0.13%
09 01 2000,1622.75,1615.65,1671.15,1548.25,220.53M,0.59%
02 01 2000,1613.30,1482.15,1641.95,1482.15,231.89M,8.97%
